"genenames","PFAM"
"MA-10432419g0010",NA
"MA-10432420g0010",NA
"MA-10432435g0010","PF03016-Exostosin family"
"MA-10432438g0010","PF04117-Mpv17 / PMP22 family"
"MA-10432450g0010",NA
"MA-10432457g0010","PF00072-Response regulator receiver domain;PF00249-Myb-like DNA-binding domain"
"MA-10432470g0010","PF01425-Amidase"
"MA-10432500g0020","PF00498-FHA domain"
"MA-10432512g0010","PF13202-EF hand"
"MA-10432514g0010",NA
"MA-10432531g0020",NA
"MA-10432541g0010",NA
"MA-10432545g0020",NA
"MA-10432554g0010","PF08840-BAAT / Acyl-CoA thioester hydrolase C terminal"
"MA-10432609g0010","PF04570-zinc-finger of the FCS-type, C2-C2"
"MA-10432610g0020","PF00067-Cytochrome P450"
"MA-10432631g0010",NA
"MA-10432633g0010",NA
"MA-10432636g0020","PF03208-PRA1 family protein"
"MA-10432639g0010","PF00591-Glycosyl transferase family, a/b domain"
"MA-10432670g0020","PF01535-PPR repeat;PF01535-PPR repeat;PF01535-PPR repeat;PF01535-PPR repeat;PF01535-PPR repeat;PF12854-PPR repeat;PF14432-DYW family of nucleic acid deaminases;PF13041-PPR repeat family;PF13041-PPR repeat family;PF13041-PPR repeat family;PF13041-PPR repeat family;PF13041-PPR repeat family"
"MA-10432676g0010","PF07714-Protein tyrosine kinase"
"MA-10432694g0010","PF03144-Elongation factor Tu domain 2;PF14492-Elongation Factor G, domain II;PF03764-Elongation factor G, domain IV"
"MA-10432728g0020",NA
"MA-10432761g0010","PF00501-AMP-binding enzyme"
"MA-10432763g0010",NA
"MA-10432802g0010","PF00504-Chlorophyll A-B binding protein"
"MA-10432810g0010",NA
"MA-10432860g0010",NA
"MA-10432866g0010","PF09793-Anticodon-binding domain"
"MA-10432871g0010",NA
"MA-10432894g0010","PF00069-Protein kinase domain;PF08263-Leucine rich repeat N-terminal domain;PF08263-Leucine rich repeat N-terminal domain"
"MA-10432896g0010",NA
"MA-10432942g0010",NA
"MA-10432942g0020",NA
"MA-10432969g0020","PF14569-Zinc-binding RING-finger"
"MA-10433005g0010",NA
"MA-10433022g0010","PF00291-Pyridoxal-phosphate dependent enzyme"
"MA-10433024g0010","PF00467-KOW motif;PF18131-KN17 SH3-like C-terminal domain;PF12656-G-patch domain"
"MA-10433072g0020",NA
"MA-10433103g0010",NA
"MA-10433115g0010",NA
"MA-10433118g0020",NA
"MA-10433125g0010","PF04130-Gamma tubulin complex component C-terminal"
"MA-10433134g0010",NA
"MA-10433142g0010","PF00112-Papain family cysteine protease"
"MA-10433153g0010","PF12854-PPR repeat;PF12854-PPR repeat;PF01535-PPR repeat;PF01535-PPR repeat;PF01535-PPR repeat;PF01535-PPR repeat;PF01535-PPR repeat;PF13041-PPR repeat family;PF13041-PPR repeat family;PF13041-PPR repeat family"
"MA-10433171g0010","PF15044-Mitochondrial function, CLU-N-term;PF12807-Translation initiation factor eIF3 subunit 135"
"MA-10433177g0020","PF04832-SOUL heme-binding protein"
"MA-10433182g0010","PF00076-RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
"MA-10433190g0010",NA
"MA-10433191g0020",NA
"MA-10433192g0010","PF00069-Protein kinase domain"
"MA-10433197g0010",NA
"MA-10433252g0010","PF00544-Pectate lyase"
"MA-10433283g0020","PF00657-GDSL-like Lipase/Acylhydrolase"
"MA-10433284g0010","PF12796-Ankyrin repeats (3 copies);PF12796-Ankyrin repeats (3 copies)"
"MA-10433294g0010",NA
"MA-10433295g0010","PF00514-Armadillo/beta-catenin-like repeat;PF00514-Armadillo/beta-catenin-like repeat"
"MA-10433321g0010","PF00481-Protein phosphatase 2C"
"MA-10433322g0010",NA
"MA-10433385g0030",NA
"MA-10433417g0010","PF07765-KIP1-like protein"
"MA-10433448g0010",NA
"MA-10433473g0010","PF00954-S-locus glycoprotein domain;PF01453-D-mannose binding lectin;PF00069-Protein kinase domain"
"MA-10433485g0010","PF09265-Cytokinin dehydrogenase 1, FAD and cytokinin binding;PF09265-Cytokinin dehydrogenase 1, FAD and cytokinin binding;PF01565-FAD binding domain;PF01565-FAD binding domain"
"MA-10433496g0010","PF00271-Helicase conserved C-terminal domain;PF00271-Helicase conserved C-terminal domain"
"MA-10433501g0010","PF01734-Patatin-like phospholipase;PF11815-Domain of unknown function (DUF3336)"
"MA-10433509g0010",NA
"MA-10433550g0010","PF01040-UbiA prenyltransferase family"
"MA-10433568g0010","PF01425-Amidase"
"MA-10433573g0020","PF00241-Cofilin/tropomyosin-type actin-binding protein"
"MA-10433592g0010","PF00800-Prephenate dehydratase"
"MA-10433599g0010",NA
"MA-10433608g0010","PF01237-Oxysterol-binding protein"
"MA-10433631g0010","PF00686-Starch binding domain;PF02446-4-alpha-glucanotransferase"
"MA-10433636g0010",NA
"MA-10433644g0010","PF01031-Dynamin central region;PF00350-Dynamin family"
"MA-10433665g0010","PF10354-Domain of unknown function (DUF2431);PF18044-CCCH-type zinc finger;PF18044-CCCH-type zinc finger"
"MA-10433676g0010","PF00112-Papain family cysteine protease;PF08127-Peptidase family C1 propeptide"
"MA-10433687g0010","PF00067-Cytochrome P450"
"MA-10433687g0040","PF00067-Cytochrome P450"
"MA-10433694g0010","PF13602-Zinc-binding dehydrogenase;PF08240-Alcohol dehydrogenase GroES-like domain"
"MA-10433699g0010",NA
"MA-10433708g0020","PF00060-Ligand-gated ion channel"
"MA-10433734g0010","PF01746-tRNA (Guanine-1)-methyltransferase"
"MA-10433761g0010","PF01411-tRNA synthetases class II (A)"
"MA-10433767g0010","PF00628-PHD-finger"
"MA-10433775g0010",NA
"MA-10433793g0030","PF12624-N-terminal region of Chorein or VPS13;PF13329-Autophagy-related protein 2 CAD motif"
"MA-10433797g0010","PF13923-Zinc finger, C3HC4 type (RING finger)"
"MA-10433808g0010","PF04051-Transport protein particle (TRAPP) component"
"MA-10433879g0010",NA
"MA-10433905g0010","PF00459-Inositol monophosphatase family"
"MA-10433921g0010","PF00690-Cation transporter/ATPase, N-terminus;PF12515-Ca2+-ATPase N terminal autoinhibitory domain"
"MA-10433926g0010",NA
"MA-10433942g0010","PF00149-Calcineurin-like phosphoesterase"
"MA-10433951g0030","PF16845-Aspartic acid proteinase inhibitor"
"MA-10433965g0010","PF00326-Prolyl oligopeptidase family;PF00930-Dipeptidyl peptidase IV (DPP IV) N-terminal region"
"MA-10433986g0020",NA
"MA-10433998g0010","PF03169-OPT oligopeptide transporter protein"
"MA-10434025g0010",NA
"MA-10434063g0010","PF02470-MlaD protein"
"MA-10434076g0010",NA
"MA-10434080g0010","PF03092-BT1 family"
"MA-10434087g0010",NA
"MA-10434105g0010",NA
"MA-10434126g0020","PF12110-Nuclear protein 96;PF04096-Nucleoporin autopeptidase"
"MA-10434136g0010",NA
"MA-10434165g0010",NA
"MA-10434167g0010","PF00331-Glycosyl hydrolase family 10;PF02018-Carbohydrate binding domain"
"MA-10434203g0010",NA
"MA-10434204g0010","PF04032-RNAse P Rpr2/Rpp21/SNM1 subunit domain"
"MA-10434233g0010",NA
"MA-10434235g0010","PF00011-Hsp20/alpha crystallin family"
"MA-10434239g0010","PF00201-UDP-glucoronosyl and UDP-glucosyl transferase"
"MA-10434249g0030",NA
"MA-10434258g0030","PF10238-E2F-associated phosphoprotein"
"MA-10434260g0010",NA
"MA-10434271g0010","PF13881-Ubiquitin-2 like Rad60 SUMO-like"
"MA-10434273g0010",NA
"MA-10434304g0010",NA
"MA-10434340g0010",NA
"MA-10434372g0010","PF03398-Regulator of Vps4 activity in the MVB pathway"
"MA-10434395g0010",NA
"MA-10434396g0010",NA
"MA-10434402g0010","PF00107-Zinc-binding dehydrogenase;PF08240-Alcohol dehydrogenase GroES-like domain;PF08240-Alcohol dehydrogenase GroES-like domain"
"MA-10434421g0010","PF06203-CCT motif"
"MA-10434442g0010","PF01751-Toprim domain;PF00986-DNA gyrase B subunit, carboxyl terminus"
"MA-10434446g0010","PF10250-GDP-fucose protein O-fucosyltransferase"
"MA-10434453g0010","PF00717-Peptidase S24-like"
"MA-10434456g0010","PF00083-Sugar (and other) transporter"
"MA-10434463g0010","PF00069-Protein kinase domain"
"MA-10434470g0010","PF00069-Protein kinase domain"
"MA-10434493g0010","PF00917-MATH domain"
"MA-10434497g0010",NA
"MA-10434519g0010","PF07297-Dolichol phosphate-mannose biosynthesis regulatory protein (DPM2);PF07297-Dolichol phosphate-mannose biosynthesis regulatory protein (DPM2)"
"MA-10434526g0010","PF05648-Peroxisomal biogenesis factor 11 (PEX11)"
"MA-10434527g0010","PF07687-Peptidase dimerisation domain;PF01546-Peptidase family M20/M25/M40"
"MA-10434529g0010","PF03061-Thioesterase superfamily"
"MA-10434575g0010",NA
"MA-10434576g0010","PF00201-UDP-glucoronosyl and UDP-glucosyl transferase"
"MA-10434578g0010",NA
"MA-10434588g0020",NA
"MA-10434613g0020","PF00226-DnaJ domain"
"MA-10434635g0010",NA
"MA-10434636g0010",NA
"MA-10434656g0020",NA
"MA-10434663g0010","PF12854-PPR repeat;PF12854-PPR repeat;PF13812-Pentatricopeptide repeat domain;PF13041-PPR repeat family;PF13041-PPR repeat family"
"MA-10434670g0010",NA
"MA-10434679g0010","PF07526-Associated with HOX"
"MA-10434688g0010","PF02138-Beige/BEACH domain;PF15787-Domain of unknown function (DUF4704);PF16057-Domain of unknown function (DUF4800);PF00400-WD domain, G-beta repeat;PF00400-WD domain, G-beta repeat"
"MA-10434696g0020","PF03735-ENT domain"
"MA-10434700g0020","PF00291-Pyridoxal-phosphate dependent enzyme"
"MA-10434701g0020",NA
"MA-10434707g0020",NA
"MA-10434717g0010","PF00005-ABC transporter"
"MA-10434726g0010","PF00481-Protein phosphatase 2C"
"MA-10434727g0010","PF03479-Plants and Prokaryotes Conserved (PCC) domain"
"MA-10434749g0010","PF05362-Lon protease (S16) C-terminal proteolytic domain"
"MA-10434764g0010",NA
"MA-10434793g0010",NA
"MA-10434794g0020","PF06974-Protein of unknown function (DUF1298);PF03007-Wax ester synthase-like Acyl-CoA acyltransferase domain"
"MA-10434797g0010","PF00069-Protein kinase domain"
"MA-10434810g0020","PF00883-Cytosol aminopeptidase family, catalytic domain"
"MA-10434812g0010","PF08241-Methyltransferase domain"
"MA-10434828g0010",NA
"MA-10434860g0030","PF00232-Glycosyl hydrolase family 1;PF00573-Ribosomal protein L4/L1 family"
"MA-10434895g0010","PF13920-Zinc finger, C3HC4 type (RING finger)"
"MA-10434906g0010",NA
"MA-10434906g0020","PF07676-WD40-like Beta Propeller Repeat;PF07676-WD40-like Beta Propeller Repeat;PF07676-WD40-like Beta Propeller Repeat;PF07676-WD40-like Beta Propeller Repeat"
"MA-10434909g0010","PF01544-CorA-like Mg2+ transporter protein"
"MA-10434960g0010","PF03171-2OG-Fe(II) oxygenase superfamily"
"MA-10434978g0020",NA
"MA-10434980g0010",NA
"MA-10435028g0010","PF05542-Protein of unknown function (DUF760)"
"MA-10435074g0010","PF00160-Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD"
"MA-10435080g0010","PF01842-ACT domain;PF01842-ACT domain;PF01842-ACT domain"
"MA-10435100g0010",NA
"MA-10435118g0010",NA
"MA-10435120g0010",NA
"MA-10435122g0010","PF00180-Isocitrate/isopropylmalate dehydrogenase"
"MA-10435144g0010",NA
"MA-10435198g0020",NA
"MA-10435200g0010",NA
"MA-10435216g0010","PF00160-Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD"
"MA-10435230g0010","PF18052-Rx N-terminal domain;PF00931-NB-ARC domain"
"MA-10435231g0010","PF00010-Helix-loop-helix DNA-binding domain"
"MA-10435255g0010","PF04127-DNA / pantothenate metabolism flavoprotein"
"MA-10435286g0010","PF07647-SAM domain (Sterile alpha motif)"
"MA-10435292g0010","PF00443-Ubiquitin carboxyl-terminal hydrolase"
"MA-10435296g0010","PF00153-Mitochondrial carrier protein;PF00153-Mitochondrial carrier protein;PF00153-Mitochondrial carrier protein"
"MA-10435343g0040",NA
"MA-10435368g0020","PF00348-Polyprenyl synthetase"
"MA-10435374g0010","PF01764-Lipase (class 3)"
"MA-10435403g0010","PF00005-ABC transporter;PF06472-ABC transporter transmembrane region 2"
"MA-10435426g0010","PF03110-SBP domain"
"MA-10435432g0010","PF01529-DHHC palmitoyltransferase"
"MA-10435433g0010",NA
"MA-10435445g0010","PF01751-Toprim domain;PF01131-DNA topoisomerase"
"MA-10435451g0030","PF13831-PHD-finger;PF13832-PHD-zinc-finger like domain"
"MA-10435455g0010","PF01145-SPFH domain / Band 7 family"
"MA-10435456g0030","PF01915-Glycosyl hydrolase family 3 C-terminal domain;PF00933-Glycosyl hydrolase family 3 N terminal domain"
"MA-10435460g0010",NA
"MA-10435469g0010",NA
"MA-10435473g0010","PF09229-Activator of Hsp90 ATPase, N-terminal;PF08327-Activator of Hsp90 ATPase homolog 1-like protein"
"MA-10435476g0020",NA
"MA-10435476g0040",NA
"MA-10435542g0010","PF02735-Ku70/Ku80 beta-barrel domain;PF08785-Ku C terminal domain like"
"MA-10435544g0010",NA
"MA-10435545g0020",NA
"MA-10435548g0010","PF14381-Ethylene-responsive protein kinase Le-CTR1;PF13855-Leucine rich repeat"
"MA-10435562g0010","PF17655-Inward rectifier potassium channel C-terminal domain"
"MA-10435564g0010",NA
"MA-10435589g0010","PF03694-Erg28 like protein"
"MA-10435593g0010","PF10351-Golgi-body localisation protein domain"
"MA-10435633g0010",NA
"MA-10435636g0010","PF07714-Protein tyrosine kinase"
"MA-10435639g0010","PF14569-Zinc-binding RING-finger"
"MA-10435640g0010","PF02140-Galactose binding lectin domain"
"MA-10435662g0020",NA
"MA-10435699g0010","PF01599-Ribosomal protein S27a;PF00240-Ubiquitin family"
"MA-10435704g0010",NA
"MA-10435713g0020","PF10374-Telomerase activating protein Est1;PF10373-Est1 DNA/RNA binding domain"
"MA-10435717g0020",NA
"MA-10435720g0010",NA
"MA-10435723g0010","PF00107-Zinc-binding dehydrogenase;PF08240-Alcohol dehydrogenase GroES-like domain"
"MA-10435732g0010",NA
"MA-10435759g0010",NA
"MA-10435774g0010",NA
"MA-10435781g0010","PF12874-Zinc-finger of C2H2 type"
"MA-10435786g0010",NA
"MA-10435801g0010","PF03372-Endonuclease/Exonuclease/phosphatase family"
"MA-10435811g0020","PF12812-PDZ-like domain;PF13365-Trypsin-like peptidase domain"
"MA-10435836g0010","PF14746-WASH complex subunit 7, C-terminal;PF14744-WASH complex subunit 7"
"MA-10435845g0020","PF05793-Transcription initiation factor IIF, alpha subunit (TFIIF-alpha)"
"MA-10435855g0010",NA
"MA-10435857g0010","PF01633-Choline/ethanolamine kinase"
"MA-10435863g0020","PF00560-Leucine Rich Repeat;PF00560-Leucine Rich Repeat;PF00560-Leucine Rich Repeat;PF13855-Leucine rich repeat;PF13855-Leucine rich repeat;PF13855-Leucine rich repeat;PF08263-Leucine rich repeat N-terminal domain"
"MA-10435872g0010",NA
"MA-10435880g0020","PF05832-Eukaryotic protein of unknown function (DUF846)"
"MA-10435887g0010",NA
"MA-10435894g0010","PF14228-Cell morphogenesis central region;PF14228-Cell morphogenesis central region;PF14225-Cell morphogenesis C-terminal"
"MA-10435896g0010",NA
"MA-10435907g0010",NA
"MA-10435937g0010","PF03874-RNA polymerase Rpb4"
"MA-10435948g0010",NA
"MA-10435964g0010",NA
"MA-10435968g0010","PF01728-FtsJ-like methyltransferase"
"MA-10435975g0010","PF00023-Ankyrin repeat;PF12796-Ankyrin repeats (3 copies)"
"MA-10435984g0010",NA
"MA-10435995g0020",NA
"MA-10436002g0010",NA
"MA-10436004g0040","PF00334-Nucleoside diphosphate kinase"
"MA-10436031g0020","PF01734-Patatin-like phospholipase"
"MA-10436036g0010","PF06966-Protein of unknown function (DUF1295)"
"MA-10436039g0010",NA
"MA-10436050g0010","PF01602-Adaptin N terminal region"
"MA-10436071g0020","PF00931-NB-ARC domain;PF13855-Leucine rich repeat"
"MA-10436072g0030","PF00501-AMP-binding enzyme;PF13193-AMP-binding enzyme C-terminal domain"
"MA-10436099g0010","PF00650-CRAL/TRIO domain"
"MA-10436101g0010","PF00012-Hsp70 protein"
"MA-10436102g0010",NA
"MA-10436134g0010","PF02516-Oligosaccharyl transferase STT3 subunit"
"MA-10436151g0010","PF00293-NUDIX domain;PF09297-NADH pyrophosphatase zinc ribbon domain;PF09296-NADH pyrophosphatase-like rudimentary NUDIX domain"
"MA-10436152g0020",NA
"MA-10436167g0010","PF00227-Proteasome subunit;PF10584-Proteasome subunit A N-terminal signature"
"MA-10436174g0010","PF00564-PB1 domain"
"MA-10436175g0020",NA
"MA-10436182g0020","PF00931-NB-ARC domain"
"MA-10436192g0010",NA
"MA-10436193g0010","PF01106-NifU-like domain;PF01106-NifU-like domain;PF04755-PAP_fibrillin"
"MA-10436204g0020",NA
"MA-10436205g0010",NA
"MA-10436212g0010","PF00134-Cyclin, N-terminal domain"
"MA-10436227g0010","PF02897-Prolyl oligopeptidase, N-terminal beta-propeller domain"
"MA-10436231g0010","PF08240-Alcohol dehydrogenase GroES-like domain"
"MA-10436234g0010","PF13602-Zinc-binding dehydrogenase;PF08240-Alcohol dehydrogenase GroES-like domain"
"MA-10436235g0020","PF02854-MIF4G domain"
"MA-10436238g0020","PF00400-WD domain, G-beta repeat;PF00400-WD domain, G-beta repeat;PF00400-WD domain, G-beta repeat;PF00400-WD domain, G-beta repeat"
"MA-10436250g0010",NA
"MA-10436260g0010",NA
"MA-10436268g0010",NA
"MA-10436285g0010","PF13832-PHD-zinc-finger like domain;PF13831-PHD-finger"
"MA-10436290g0010",NA
"MA-10436298g0010",NA
"MA-10436304g0020","PF06886-Targeting protein for Xklp2 (TPX2)"
"MA-10436346g0010","PF03969-AFG1-like ATPase"
"MA-10436376g0010","PF04116-Fatty acid hydroxylase superfamily"
"MA-10436380g0020",NA
"MA-10436384g0010","PF02042-RWP-RK domain;PF00564-PB1 domain"
"MA-10436387g0010","PF04979-Protein phosphatase inhibitor 2 (IPP-2)"
"MA-10436388g0010","PF00201-UDP-glucoronosyl and UDP-glucosyl transferase"
"MA-10436395g0010","PF07857-Transmembrane family, TMEM144 of transporters"
"MA-10436396g0030",NA
"MA-10436405g0010","PF02272-DHHA1 domain;PF07973-Threonyl and Alanyl tRNA synthetase second additional domain"
"MA-10436410g0010","PF09335-SNARE associated Golgi protein"
"MA-10436412g0010","PF00270-DEAD/DEAH box helicase"
"MA-10436416g0010","PF09745-Coiled-coil domain-containing protein 55 (DUF2040)"
"MA-10436417g0010","PF01967-MoaC family"
"MA-10436421g0010",NA
"MA-10436427g0010","PF07967-C3HC zinc finger-like"
"MA-10436435g0010","PF05911-Filament-like plant protein, long coiled-coil"
"MA-10436447g0020",NA
"MA-10436451g0020","PF00295-Glycosyl hydrolases family 28"
"MA-10436453g0010",NA
"MA-10436457g0010","PF01612-3'-5' exonuclease"
"MA-10436459g0010",NA
"MA-10436461g0010","PF01593-Flavin containing amine oxidoreductase"
"MA-10436475g0010",NA
"MA-10436478g0020",NA
"MA-10436489g0010",NA
"MA-10436509g0010","PF00282-Pyridoxal-dependent decarboxylase conserved domain;PF00282-Pyridoxal-dependent decarboxylase conserved domain"
"MA-10436522g0010",NA
"MA-10436523g0010","PF01985-CRS1 / YhbY (CRM) domain"
"MA-10436527g0010","PF00628-PHD-finger"
"MA-10436554g0010","PF14709-double strand RNA binding domain from DEAD END PROTEIN 1;PF00035-Double-stranded RNA binding motif;PF14622-Ribonuclease-III-like"
"MA-10436578g0010","PF10497-Zinc-finger domain of monoamine-oxidase A repressor R1"
"MA-10436586g0010",NA
"MA-10436587g0020","PF06200-tify domain"
"MA-10436601g0010","PF01521-Iron-sulphur cluster biosynthesis"
"MA-10436615g0010","PF08621-RPAP1-like, N-terminal"
"MA-10436625g0010","PF05183-RNA dependent RNA polymerase"
"MA-10436629g0030","PF16455-Ubiquitin-binding domain"
"MA-10436637g0010","PF00076-RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain);PF00076-RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
"MA-10436640g0030",NA
"MA-10436648g0010","PF01412-Putative GTPase activating protein for Arf;PF01412-Putative GTPase activating protein for Arf"
"MA-10436681g0010",NA
"MA-10436683g0010",NA
"MA-10436690g0010","PF07714-Protein tyrosine kinase"
"MA-10436698g0010","PF00294-pfkB family carbohydrate kinase"
"MA-10436698g0020","PF00294-pfkB family carbohydrate kinase"
"MA-10436711g0010","PF02893-GRAM domain"
"MA-10436721g0010",NA
"MA-10436742g0010","PF01926-50S ribosome-binding GTPase;PF14714-KH-domain-like of EngA bacterial GTPase enzymes, C-terminal"
"MA-10436749g0010",NA
"MA-10436756g0010","PF05127-Helicase"
"MA-10436771g0010","PF03952-Enolase, N-terminal domain;PF00113-Enolase, C-terminal TIM barrel domain"
"MA-10436781g0010",NA
"MA-10436782g0010","PF11721-Malectin domain;PF07714-Protein tyrosine kinase"
"MA-10436789g0010","PF01061-ABC-2 type transporter"
"MA-10436811g0010","PF06424-PRP1 splicing factor, N-terminal;PF06424-PRP1 splicing factor, N-terminal"
"MA-10436820g0040",NA
"MA-10436829g0010","PF04488-Glycosyltransferase sugar-binding region containing DXD motif;PF04572-Alpha 1,4-glycosyltransferase conserved region"
"MA-10436829g0020","PF04572-Alpha 1,4-glycosyltransferase conserved region;PF04488-Glycosyltransferase sugar-binding region containing DXD motif"
"MA-10436851g0010","PF13855-Leucine rich repeat;PF13855-Leucine rich repeat;PF07714-Protein tyrosine kinase;PF00069-Protein kinase domain"
"MA-10436867g0010","PF12906-RING-variant domain"
"MA-10436869g0020","PF09803-Pet100"
"MA-10436874g0010","PF10167-BLOC-1-related complex sub-unit 8"
"MA-10436893g0010","PF09133-SANTA (SANT Associated)"
"MA-10436899g0020","PF13917-Zinc knuckle"
"MA-10436906g0010","PF06920-Dock homology region 2"
"MA-10436912g0010",NA
"MA-10436923g0010",NA
"MA-10436931g0040","PF10533-Plant zinc cluster domain;PF03106-WRKY DNA -binding domain"
"MA-10436938g0010",NA
"MA-10436939g0010","PF00479-Glucose-6-phosphate dehydrogenase, NAD binding domain"
"MA-10436951g0010",NA
"MA-10436966g0010",NA
"MA-10436983g0010",NA
"MA-10436991g0010",NA
"MA-10436999g0010","PF13483-Beta-lactamase superfamily domain"
"MA-10437005g0010","PF02263-Guanylate-binding protein, N-terminal domain"
"MA-10437010g0010",NA
"MA-10437014g0010","PF03859-CG-1 domain"
"MA-10437020g0010","PF00069-Protein kinase domain"
"MA-10437021g0010",NA
"MA-10437022g0010","PF12490-Breast carcinoma amplified sequence 3"
"MA-10437027g0010","PF12848-ABC transporter;PF00005-ABC transporter;PF00005-ABC transporter"
"MA-10437030g0010","PF12928-tRNA-splicing endonuclease subunit sen54 N-term"
"MA-10437040g0010",NA
"MA-10437041g0020","PF14249-Tocopherol cyclase"
"MA-10437042g0010","PF00501-AMP-binding enzyme"
"MA-10437045g0010",NA
"MA-10437046g0010","PF01566-Natural resistance-associated macrophage protein"
"MA-10437047g0020","PF13839-GDSL/SGNH-like Acyl-Esterase family found in Pmr5 and Cas1p"
"MA-10437053g0010",NA
"MA-10437071g0010","PF00571-CBS domain;PF00571-CBS domain"
"MA-10437083g0020",NA
"MA-10437085g0010",NA
"MA-10437087g0010","PF00300-Histidine phosphatase superfamily (branch 1)"
"MA-10437095g0010","PF11833-Protein CHAPERONE-LIKE PROTEIN OF POR1-like"
"MA-10437101g0010","PF00069-Protein kinase domain;PF13499-EF-hand domain pair;PF13499-EF-hand domain pair"
"MA-10437104g0020",NA
"MA-10437109g0030","PF00005-ABC transporter"
"MA-10437127g0010",NA
"MA-10437129g0010","PF00343-Carbohydrate phosphorylase"
"MA-10437133g0010",NA
"MA-10437138g0030","PF16212-Phospholipid-translocating P-type ATPase C-terminal;PF13246-Cation transport ATPase (P-type);PF00702-haloacid dehalogenase-like hydrolase"
"MA-10437144g0010","PF12972-Alpha-N-acetylglucosaminidase (NAGLU) C-terminal domain"
"MA-10437151g0010","PF05701-Weak chloroplast movement under blue light"
"MA-10437156g0010","PF12697-Alpha/beta hydrolase family"
"MA-10437168g0010","PF00892-EamA-like transporter family"
"MA-10437171g0020",NA
"MA-10437199g0010","PF02738-Molybdopterin-binding domain of aldehyde dehydrogenase;PF01315-Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain"
"MA-10437208g0020",NA
"MA-10437209g0010","PF00270-DEAD/DEAH box helicase;PF00271-Helicase conserved C-terminal domain"
"MA-10437232g0030","PF05911-Filament-like plant protein, long coiled-coil"
"MA-10437241g0010","PF08323-Starch synthase catalytic domain;PF16760-Starch/carbohydrate-binding module (family 53);PF16760-Starch/carbohydrate-binding module (family 53);PF16760-Starch/carbohydrate-binding module (family 53)"
"MA-10437243g0010","PF02170-PAZ domain;PF00636-Ribonuclease III domain;PF00636-Ribonuclease III domain"
"MA-10437243g0020","PF03368-Dicer dimerisation domain;PF00271-Helicase conserved C-terminal domain;PF04851-Type III restriction enzyme, res subunit"
"MA-10437251g0020","PF08424-NRDE-2, necessary for RNA interference"
"MA-10437252g0010","PF00549-CoA-ligase;PF02629-CoA binding domain"
"MA-10437258g0010","PF01979-Amidohydrolase family;PF00449-Urease alpha-subunit, N-terminal domain;PF00501-AMP-binding enzyme;PF00699-Urease beta subunit"
"MA-10437259g0030","PF13837-Myb/SANT-like DNA-binding domain"
"MA-10437260g0010","PF01018-GTP1/OBG;PF01926-50S ribosome-binding GTPase;PF09269-Domain of unknown function (DUF1967)"
"MA-10437265g0020","PF00582-Universal stress protein family"
"MA-10437272g0010",NA
"MA-10447g0010",NA
"MA-104495g0010",NA
"MA-104694g0010","PF04788-Protein of unknown function (DUF620)"
"MA-105019g0010",NA
"MA-105093g0010","PF00168-C2 domain;PF00168-C2 domain;PF00168-C2 domain;PF00168-C2 domain;PF08372-Plant phosphoribosyltransferase C-terminal"
"MA-105216g0020",NA
"MA-105321g0010","PF00069-Protein kinase domain"
"MA-105774g0020",NA
"MA-105802g0010","PF13602-Zinc-binding dehydrogenase"
"MA-106058g0010","PF04759-Protein of unknown function, DUF617"
"MA-106197g0010",NA
"MA-106351g0010",NA
"MA-106437g0010","PF05623-Protein of unknown function (DUF789)"
"MA-10666g0010","PF00627-UBA/TS-N domain"
"MA-106719g0010","PF08969-USP8 dimerisation domain;PF01398-JAB1/Mov34/MPN/PAD-1 ubiquitin protease"
"MA-10677g0020",NA
"MA-106792g0010","PF00856-SET domain;PF05033-Pre-SET motif;PF10440-Ubiquitin-binding WIYLD domain"
"MA-10689g0010","PF00628-PHD-finger;PF02791-DDT domain;PF15612-WSTF, HB1, Itc1p, MBD9 motif 1"
"MA-106890g0010","PF00238-Ribosomal protein L14p/L23e"
"MA-1069406g0010","PF02298-Plastocyanin-like domain"
"MA-107159g0010","PF00067-Cytochrome P450"
"MA-107283g0010",NA
"MA-107341g0010","PF10198-Histone acetyltransferases subunit 3"
"MA-107391g0010",NA
"MA-107548g0010","PF04072-Leucine carboxyl methyltransferase"
"MA-107576g0010","PF00005-ABC transporter;PF00664-ABC transporter transmembrane region;PF00664-ABC transporter transmembrane region;PF00005-ABC transporter"
"MA-107659g0010","PF15341-Ribosome biogenesis protein SLX9"
"MA-107746g0010",NA
"MA-107764g0010","PF08670-MEKHLA domain"
"MA-107917g0010","PF00332-Glycosyl hydrolases family 17"
"MA-1082585g0010","PF13855-Leucine rich repeat;PF00560-Leucine Rich Repeat;PF00560-Leucine Rich Repeat"
"MA-108477g0010","PF18791-Transport inhibitor response 1 protein domain;PF18511-F-box"
"MA-108598g0010",NA
"MA-10865g0010",NA
"MA-10869g0010","PF00201-UDP-glucoronosyl and UDP-glucosyl transferase"
"MA-108710g0010",NA
"MA-108756g0010","PF16974-High-affinity nitrate transporter accessory;PF16974-High-affinity nitrate transporter accessory"
